MONTHYEAR,PLAN_NAME,Customer,REGION,PRODUCT,NET REVENUE,Gross Revenue,Discount percentage ,
2021-05-01,SMALL BUSINESS,Cust10009,OTHERS,PD4,142.21728,192,26%,2021
2021-05-01,Medium Business,Cust10009,OTHERS,PD2,136.78632,185,26%,2021
2021-05-01,LARGE BUSINESS,Cust10010,INDIA,PD1,125.16174,291,57%,2021
2022-01-01,LARGE BUSINESS,Cust10010,INDIA,PD1,83.58039,104,20%,2022
2021-02-01,SMALL BUSINESS,Cust1002,EU,PD6,54.6,71,23%,2021
2021-02-01,SMALL BUSINESS,Cust1002,EU,PD4,30.42,30,0%,2021
2021-02-01,SMALL BUSINESS,Cust1002,EU,PD7,18.72,23,19%,2021
2021-02-01,SMALL BUSINESS,Cust1002,EU,PD1,18.72,22,14%,2021
2021-02-01,SMALL BUSINESS,Cust1002,EU,PD5,15,20,25%,2021
2021-07-01,LARGE BUSINESS,Cust10033,UK,PD1,220.32,253,13%,2021
2021-12-01,LARGE BUSINESS,Cust10033,UK,PD1,220.32,259,15%,2021
2021-03-01,SMALL BUSINESS,Cust10050,NA,PD1,114,134,15%,2021
2021-03-01,SMALL BUSINESS,Cust10050,NA,PD4,35,35,0%,2021
2021-03-01,SMALL BUSINESS,Cust10051,NA,PD1,76,95,20%,2021
2022-01-01,SMALL BUSINESS,Cust10051,NA,PD1,108,148,27%,2022
2021-06-01,Medium Business,Cust10053,OTHERS,PD2,150,150,0%,2021
2021-09-01,Medium Business,Cust10053,OTHERS,PD2,150,313,52%,2021
2022-01-01,SMALL BUSINESS,Cust10054,NA,PD1,45,50,10%,2022
2022-01-01,SMALL BUSINESS,Cust10054,NA,PD7,45,45,0%,2022
2021-11-01,LARGE BUSINESS,Cust10071,EU,PD1,177,201,12%,2021
2022-01-01,LARGE BUSINESS,Cust10071,EU,PD1,177,242,27%,2022
2021-01-01,SMALL BUSINESS,Cust10074,UK,PD2,75,183,59%,2021
2022-02-01,SMALL BUSINESS,Cust10074,UK,PD2,131,149,12%,2022
2021-06-01,LARGE BUSINESS,Cust1008,INDIA,PD1,295.40592,332,11%,2021
2021-11-01,LARGE BUSINESS,Cust1008,INDIA,PD1,2092.391705,2092,0%,2021
2021-02-01,LARGE BUSINESS,Cust10089,INDIA,PD1,136.77264,154,11%,2021
2022-02-01,Medium Business,Cust10089,INDIA,PD1,110.9142,134,17%,2022
2021-01-01,LARGE BUSINESS,Cust10117,UK,PD5,365.84,366,0%,2021
2021-11-01,Medium Business,Cust10117,UK,PD1,213,257,17%,2021
2021-03-01,LARGE BUSINESS,Cust10135,UK,PD5,122.4,163,25%,2021
2021-03-01,Medium Business,Cust10135,UK,PD1,34,41,18%,2021
2021-11-01,Medium Business,Cust10172,NA,PD5,188,188,0%,2021
2021-11-01,Medium Business,Cust10172,NA,PD1,177,177,0%,2021
2022-02-01,Medium Business,Cust1018,EU,PD1,59,74,20%,2022
2022-02-01,Medium Business,Cust1018,EU,PD5,53.58,62,14%,2022
2021-01-01,SMALL BUSINESS,Cust10181,NA,PD1,40.5,41,0%,2021
2021-08-01,SMALL BUSINESS,Cust10181,NA,PD1,39.17,48,19%,2021
2021-03-01,SMALL BUSINESS,Cust10182,UK,PD1,122.4,157,22%,2021
2021-03-01,Medium Business,Cust10182,UK,PD7,102,102,0%,2021
2021-06-01,SMALL BUSINESS,Cust10189,EU,PD2,75,99,24%,2021
2021-11-01,SMALL BUSINESS,Cust10189,OTHERS,PD2,91.758,108,15%,2021
2021-01-01,Medium Business,Cust10191,NA,PD1,232.4,306,24%,2021
2021-01-01,SMALL BUSINESS,Cust10191,NA,PD7,15,17,11%,2021
2021-08-01,Medium Business,Cust10210,NA,PD5,146.25,178,18%,2021
